,date,open,high,low,close,volume,qt_volume,forecast
0,2021-12-08 05:30:00,50517.0,51969.5,50000.1,50632.8,64.78832672,3300373.448107939,
1,2021-12-09 05:30:00,50650.0,51188.7,48088.0,50527.0,115.19834227,5795308.993639552,
2,2021-12-10 05:30:00,50548.4,50828.0,46300.1,47610.8,105.94314462,5112207.697144191,
3,2021-12-11 05:30:00,47644.1,50126.5,46871.3,47069.2,90.23933729,4352205.359859905,
4,2021-12-12 05:30:00,47091.5,49514.0,46755.0,49409.8,58.2426677,2817812.927174752,
5,2021-12-13 05:30:00,49414.1,50818.7,48675.4,50092.8,52.90646208,2636024.019966182,
6,2021-12-14 05:30:00,50068.1,50208.7,45740.9,46666.3,92.48783219,4405503.470892106,
7,2021-12-15 05:30:00,46640.2,48716.2,46213.4,48432.0,77.02752302,3629883.070240419,
8,2021-12-16 05:30:00,48314.3,49664.7,46485.1,48898.8,69.2393987,3330840.8558133566,
9,2021-12-17 05:30:00,48909.0,49449.5,47543.7,47618.3,47.78289673,2315570.597360742,
10,2021-12-18 05:30:00,47647.8,47998.8,45499.9,46140.8,49.36060927,2310039.7340567964,
11,2021-12-19 05:30:00,46189.7,47363.3,45003.2,46865.4,65.7363666,3059270.0299388855,
12,2021-12-20 05:30:00,46804.5,48215.2,46460.1,46717.5,41.23896375,1948047.9534467543,
13,2021-12-21 05:30:00,46657.9,47507.5,45565.9,46872.2,68.72025165,3187487.3985075615,
14,2021-12-22 05:30:00,46921.9,49316.5,46674.6,48891.0,81.69925198,3960096.4357705177,
15,2021-12-23 05:30:00,48931.2,49665.7,48449.9,48600.8,51.45422251,2519897.0725326003,
16,2021-12-24 05:30:00,48626.2,51380.0,48031.2,50834.4,56.08185447,2776383.736347179,
17,2021-12-25 05:30:00,50840.3,51841.7,50411.2,50822.6,54.56508569,2785235.109837147,
18,2021-12-26 05:30:00,50829.5,51149.3,50206.2,50444.2,22.57982964,1147121.0553958914,
19,2021-12-27 05:30:00,50397.5,51281.1,49455.7,50813.7,55.85030492,2799034.3139505764,
20,2021-12-28 05:30:00,50876.6,52067.8,50351.6,50747.3,51.47890242,2633182.973018186,
21,2021-12-29 05:30:00,50658.4,50710.4,47324.5,47542.0,86.50448943,4234282.106415944,
22,2021-12-30 05:30:00,47664.8,48484.6,46100.0,46436.7,100.16582121,4748536.504306855,
23,2021-12-31 05:30:00,46469.0,47904.3,45969.9,47124.6,49.35753174,2321620.197478268,
24,2022-01-01 05:30:00,47097.3,48544.4,45683.4,46216.7,67.77209247,3185082.3413400617,
25,2022-01-02 05:30:00,46208.3,47939.3,46199.9,47783.8,63.74224499,2990847.178381427,
26,2022-01-03 05:30:00,47711.5,47974.5,46698.0,47318.7,48.37935076,2287611.073426227,
27,2022-01-04 05:30:00,47276.7,47568.6,45500.0,46440.6,86.37207117,4001110.1412147507,
28,2022-01-05 05:30:00,46492.5,47514.6,45560.5,45837.7,76.99270789,3572561.555589156,
29,2022-01-06 05:30:00,45824.1,47049.8,42500.0,43448.4,119.35060722,5347955.998401046,
30,2022-01-07 05:30:00,43432.0,44102.9,42420.0,43138.5,125.3061413,5397578.326163221,
